benchmark,script,system,nodes,persistence_mode,time
NLP,sort;3_1,dish,4,,25.069
NLP,sort;3_1,fractal,4,,25.602
NLP,sort_words_by_folding;3_2,bash,4,,252.465
NLP,sort_words_by_folding;3_2,dish,4,,25.024
NLP,sort_words_by_folding;3_2,fractal,4,,25.539
NLP,sort_words_by_num_of_syllables;8_1,bash,4,,250.317
NLP,sort_words_by_num_of_syllables;8_1,dish,4,,18.359
NLP,sort_words_by_num_of_syllables;8_1,fractal,4,,18.871
NLP,sort_words_by_rhyming;3_3,bash,4,,251.825
NLP,sort_words_by_rhyming;3_3,dish,4,,33.575
NLP,sort_words_by_rhyming;3_3,fractal,4,,34.821
NLP,uppercase_by_token;6_1_1,bash,4,,240.06
NLP,uppercase_by_token;6_1_1,dish,4,,12.648
NLP,uppercase_by_token;6_1_1,fractal,4,,12.935
NLP,uppercase_by_type;6_1_2,bash,4,,249.105
NLP,uppercase_by_type;6_1_2,dish,4,,18.135
NLP,uppercase_by_type;6_1_2,fractal,4,,18.683
NLP,verses_2om_3om_2instances;6_7,bash,4,,703.217
NLP,verses_2om_3om_2instances;6_7,dish,4,,164.226
NLP,verses_2om_3om_2instances;6_7,fractal,4,,164.807
NLP,vowel_sequencies_gr_1K;8.2_1,bash,4,,246.312
NLP,vowel_sequencies_gr_1K;8.2_1,dish,4,,20.062
NLP,vowel_sequencies_gr_1K;8.2_1,fractal,4,,20.465
NLP,words_no_vowels;6_3,bash,4,,240.409
NLP,words_no_vowels;6_3,dish,4,,18.544
NLP,words_no_vowels;6_3,fractal,4,,19.23
NLP,1syllable_words;6_4,bash,4,,243.577
NLP,1syllable_words;6_4,dish,4,,22.756
NLP,1syllable_words;6_4,fractal,4,,23.457
NLP,2syllable_words;6_5,bash,4,,241.32
NLP,2syllable_words;6_5,dish,4,,21.946
NLP,2syllable_words;6_5,fractal,4,,22.778
NLP,4letter_words;6_2,bash,4,,487.288
NLP,4letter_words;6_2,dish,4,,34.298
NLP,4letter_words;6_2,fractal,4,,35.947
NLP,bigrams_appear_twice;8.2_2,bash,4,,262.065
NLP,bigrams_appear_twice;8.2_2,dish,4,,17.006
NLP,bigrams_appear_twice;8.2_2,fractal,4,,17.705
NLP,bigrams;4_3,bash,4,,260.577
NLP,bigrams;4_3,dish,4,,23.761
NLP,bigrams;4_3,fractal,4,,24.371
NLP,compare_exodus_genesis;8.3_3,bash,4,,486.175
NLP,compare_exodus_genesis;8.3_3,dish,4,,73.689
NLP,compare_exodus_genesis;8.3_3,fractal,4,,74.041
NLP,count_consonant_seq;7_2,bash,4,,246.232
NLP,count_consonant_seq;7_2,dish,4,,21.593
NLP,count_consonant_seq;7_2,fractal,4,,21.791
NLP,count_morphs;7_1,bash,4,,238.182
NLP,count_morphs;7_1,dish,4,,19.736
NLP,count_morphs;7_1,fractal,4,,20.421
NLP,count_trigrams;4_3b,bash,4,,261.552
NLP,count_trigrams;4_3b,dish,4,,17.125
NLP,count_trigrams;4_3b,fractal,4,,17.594
NLP,count_vowel_seq;2_2,bash,4,,236.668
NLP,count_vowel_seq;2_2,dish,4,,21.824
NLP,count_vowel_seq;2_2,fractal,4,,20.332
NLP,count_words;1_1,bash,4,,250.036
NLP,count_words;1_1,dish,4,,23.07
NLP,count_words;1_1,fractal,4,,22.175
NLP,find_anagrams;8.3_2,bash,4,,252.753
NLP,find_anagrams;8.3_2,dish,4,,16.715
NLP,find_anagrams;8.3_2,fractal,4,,17.013
NLP,merge_upper;2_1,bash,4,,247.707
NLP,merge_upper;2_1,dish,4,,22.767
NLP,merge_upper;2_1,fractal,4,,23.41
NLP,sort;3_1,bash,4,,250.64
NLP,sort;3_1,dish,4,,28.071
NLP,sort;3_1,fractal,4,,28.921
NLP,sort_words_by_folding;3_2,bash,4,,251.852
NLP,sort_words_by_folding;3_2,dish,4,,28.528
NLP,sort_words_by_folding;3_2,fractal,4,,28.952
NLP,sort_words_by_num_of_syllables;8_1,bash,4,,251.214
NLP,sort_words_by_num_of_syllables;8_1,dish,4,,21.548
NLP,sort_words_by_num_of_syllables;8_1,fractal,4,,22.533
NLP,sort_words_by_rhyming;3_3,bash,4,,252.499
NLP,sort_words_by_rhyming;3_3,dish,4,,37.758
NLP,sort_words_by_rhyming;3_3,fractal,4,,38.674
NLP,uppercase_by_token;6_1_1,bash,4,,240.503
NLP,uppercase_by_token;6_1_1,dish,4,,16.126
NLP,uppercase_by_token;6_1_1,fractal,4,,16.646
NLP,uppercase_by_type;6_1_2,bash,4,,249.716
NLP,uppercase_by_type;6_1_2,dish,4,,21.325
NLP,uppercase_by_type;6_1_2,fractal,4,,22.007
NLP,verses_2om_3om_2instances;6_7,bash,4,,702.494
NLP,verses_2om_3om_2instances;6_7,dish,4,,167.403
NLP,verses_2om_3om_2instances;6_7,fractal,4,,168.072
NLP,vowel_sequencies_gr_1K;8.2_1,bash,4,,245.899
NLP,vowel_sequencies_gr_1K;8.2_1,dish,4,,23.317
NLP,vowel_sequencies_gr_1K;8.2_1,fractal,4,,23.952
NLP,words_no_vowels;6_3,bash,4,,240.976
NLP,words_no_vowels;6_3,dish,4,,22.217
NLP,words_no_vowels;6_3,fractal,4,,22.577
Unix50,1.sh,bash,4,,101.35
Unix50,1.sh,ahs,4,,236.006
Unix50,1.sh,dish,4,,117.754
Unix50,1.sh,fractal,4,,113.726
