,,,,time - 4 node,,,,time - 30 node,,,,speedup - 4 node,,,speedup - 4 30 node,,
size,run,benchmark,script,bash|4|t,ahs|4|t,dish|4|t,fractal|4|t,bash|30|t,ahs|30|t,dish|30|t,fractal|30|t,ahs|4|s,dish|4|s,fractal|4|s,ahs|30|s,dish|30|s,fractal|30|s
10 G,2,Unix50,36.sh,112.703,180.681,42.511,39.274,175.792,147.742,33.809,23.563,0.6237678561,2.651149114,2.869659317,1.189857996,5.199562247,7.460510122
100 books,2,NLP,1syllable_words;6_4,243.585,,19.426,19.841,286.515,,54.161,50.971,,12.53912283,12.27685097,,5.290061114,5.62113751
100 books,2,NLP,2syllable_words;6_5,241.721,,18.643,19.43,278.255,,53.642,51.66,,12.96577804,12.44060731,,5.187259983,5.386275648
100 books,2,NLP,4letter_words;6_2,487.986,,27.014,28.573,570.504,,82.984,79.349,,18.06418894,17.07857068,,6.874867444,7.189807055
100 books,2,NLP,bigrams_appear_twice;8.2_2,262.246,,13.981,14.566,308.576,,45.446,42.891,,18.7573135,18.00398188,,6.78994851,7.194423072
100 books,2,NLP,bigrams;4_3,261.108,,20.57,20.697,304.911,,52.32,50.73,,12.6936315,12.61574141,,5.827809633,6.010467179
100 books,2,NLP,compare_exodus_genesis;8.3_3,487.028,,72.67,73.272,565.434,,54.082,51.323,,6.701912756,6.646850093,,10.4551237,11.01716579
100 books,2,NLP,count_consonant_seq;7_2,245.805,,18.447,18.635,287.642,,51.827,48.558,,13.32493088,13.19050174,,5.550041484,5.923678899
100 books,2,NLP,count_morphs;7_1,237.936,,16.986,17.608,269.638,,52.211,49.747,,14.00777111,13.51294866,,5.164390646,5.420186142
100 books,2,NLP,count_trigrams;4_3b,261.873,,14.307,14.796,308.841,,45.044,41.976,,18.30383728,17.69890511,,6.856429269,7.357561464
100 books,2,NLP,count_vowel_seq;2_2,236.883,,16.893,17.331,268.407,,50.025,48.47,,14.02255372,13.66816687,,5.365457271,5.537590262
100 books,2,NLP,count_words;1_1,249.483,,18.53,19.039,297.641,,52.728,49.83,,13.46373448,13.10378696,,5.644837657,5.973128637
100 books,2,NLP,find_anagrams;8.3_2,253.358,,13.362,13.782,304.074,,45.352,41.88,,18.96108367,18.38325352,,6.704753925,7.260601719
100 books,2,NLP,merge_upper;2_1,247.876,,19.4,20.259,293.98,,53.503,50.961,,12.7771134,12.23535219,,5.49464516,5.768725104
100 books,2,NLP,sort;3_1,250.84,,25.069,25.602,300.282,,59.709,59.496,,10.00598349,9.797672057,,5.029091092,5.047095603
100 books,2,NLP,sort_words_by_folding;3_2,252.465,,25.024,25.539,305.17,,59.416,58.695,,10.08891464,9.885469282,,5.13615861,5.199250362
100 books,2,NLP,sort_words_by_num_of_syllables;8_1,250.317,,18.359,18.871,300.77,,53.073,49.548,,13.63456615,13.26463886,,5.667100032,6.070275289
100 books,2,NLP,sort_words_by_rhyming;3_3,251.825,,33.575,34.821,308.24,,72.321,71.595,,7.500372301,7.231986445,,4.262109208,4.305328584
100 books,2,NLP,uppercase_by_token;6_1_1,240.06,,12.648,12.935,272.753,,44.654,42.59,,18.9800759,18.55894859,,6.108142608,6.404155905
100 books,2,NLP,uppercase_by_type;6_1_2,249.105,,18.135,18.683,299.529,,52.969,50.12,,13.73614557,13.33324413,,5.654798089,5.976237031
100 books,2,NLP,verses_2om_3om_2instances;6_7,703.217,,164.226,164.807,781.857,,90.954,88.824,,4.282007721,4.266912206,,8.596180487,8.802316941
100 books,2,NLP,vowel_sequencies_gr_1K;8.2_1,246.312,,20.062,20.465,292.661,,52.371,51.342,,12.27753963,12.03576839,,5.588226308,5.700225936
100 books,2,NLP,words_no_vowels;6_3,240.409,,18.544,19.23,277.047,,54.53,51.208,,12.9642472,12.50176807,,5.080634513,5.41022887
33.4 G,2,Analytics,1.sh,1689.747,693.516,204.171,210.382,2717.693,700.012,34.699,25.199,2.436493174,8.27613618,8.031804052,3.882352017,78.32194011,107.84924
33.4 G,2,Analytics,2.sh,1682.301,691.45,204.591,210.353,2725.593,775.31,34.786,25.541,2.433004556,8.222751734,7.997513703,3.515487998,78.35315932,106.71442
33.4 G,2,Analytics,3.sh,2036.924,779.425,275.353,282.72,3329.563,860.816,60.971,50.44,2.613367547,7.397500663,7.204739672,3.867914862,54.60896164,66.01036875
33.4 G,2,Analytics,4.sh,533.085,670.942,102.659,102.535,1193.893,742.675,29.807,16.867,0.7945321652,5.192774136,5.199053982,1.607557815,40.05411481,70.78277109
33.7 G,2,Analytics,temp-analytics.sh,1022.258,1228.646,238.835,219.296,721.634,505.314,126.846,41.45,0.8320199634,4.280185065,4.661544214,1.428090257,5.689056021,17.40974668
2.1 G,2,Automation,img_convert.sh,4158.512,,971.821,987.413,4684.896,,392.49,413.28,,4.279092549,4.211522433,,11.93634488,11.3358885
2.1 G,2,Automation,to_mp3.sh,1456.874,,307.805,312.421,1693.146,,125.523,132.088,,4.733107,4.663175651,,13.48873115,12.81831809
30.0 G,2,Automation,nginx.sh,8237.911,,2026.97,1947.12,1529.299,,524.802,482.888,,4.064150431,4.230818337,,2.914049489,3.166984891
19.1 G,2,Automation,pcap.sh,5858.026,,1263.595,1339.881,6853.905,,359.878,362.056,,4.635999668,4.372049458,,19.04507917,18.93051075
19.1 G,2,Automation,compress_files.sh,3164.364,,225.822,226.029,3589.498,,394.821,343.348,,14.01264713,13.99981418,,9.091456635,10.45440195
19.1 G,2,Automation,encrypt_files.sh,2636.121,,668.616,672.516,2812.657,,257.25,269.714,,3.942653182,3.919789269,,10.93355491,10.42829442
1 G,3,Classics,nfa-regex.sh,3011.133,436.27,401.278,400.094,3290.712,440.287,445.653,428.336,6.901994178,7.503857675,7.526063875,7.474015812,7.384022995,7.68254828
3 G,3,Classics,sort.sh,253.83,102.862,119.748,102.858,274.065,42.094,52.713,50.357,2.467675138,2.119701373,2.467771102,6.510785385,5.19919185,5.442440971
3 G,3,Classics,top-n.sh,771.69,459.377,234.577,228.836,1790.371,537.649,182.202,180.031,1.679862074,3.28970871,3.372240382,3.329999684,9.826297187,9.944792841
3 G,3,Classics,wf.sh,769.192,464.635,239.252,228.971,1778.53,560.981,182.214,179.956,1.655475804,3.214986709,3.359342449,3.17039258,9.76066603,9.8831381
3 G,3,Classics,spell.sh,731.11,782.863,441.066,440.931,1659.391,1256.682,311.782,312.464,0.9338926479,1.657597729,1.658105236,1.32045418,5.32227967,5.310662988
